timestamp,symbol,option_type,strike,expiry,bid,ask,last,volume,open_interest,impliedVolatility,pchangeinOpenInterest,totalBuyQuantity,totalSellQuantity,underlyingValue,underlying,identifier,pChange
2025-06-19 03:00:02,NIFTY.NSE.OPT.30Dec2027.18000.PUT,PUT,18000,30-Dec-2027,90.05,171.95,126.0,0,135,0.0,0.0,4650,225,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.29Jun2028.18000.PUT,PUT,18000,29-Jun-2028,6.0,0.0,0.0,0,0,0.0,0.0,3750,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.28Dec2028.18000.PUT,PUT,18000,28-Dec-2028,5.0,0.0,250.0,0,1,0.0,0.0,3750,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.28Jun2029.18000.PUT,PUT,18000,28-Jun-2029,5.05,0.0,0.0,0,0,0.0,0.0,3675,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.27Dec2029.18000.PUT,PUT,18000,27-Dec-2029,10.0,0.0,0.0,0,0,0.0,0.0,3750,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.26Jun2025.19000.CALL,CALL,19000,26-Jun-2025,5780.6,5859.25,5816.45,79,1551,0.0,-4.846625766871166,225,75,,,,-0.7050488668857527
2025-06-19 03:00:02,NIFTY.NSE.OPT.26Jun2025.19000.PUT,PUT,19000,26-Jun-2025,1.05,1.2,1.05,3921,11320,62.35,-8.922441536151041,119250,47625,,,,-27.58620689655172
2025-06-19 03:00:02,NIFTY.NSE.OPT.25Sep2025.19000.CALL,CALL,19000,25-Sep-2025,0.0,6299.95,6408.0,0,9,0.0,0.0,0,150,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.25Sep2025.19000.PUT,PUT,19000,25-Sep-2025,15.6,16.0,15.5,527,1911,25.99,6.343906510851419,70950,6600,,,,-8.011869436201788
2025-06-19 03:00:02,NIFTY.NSE.OPT.24Dec2025.19000.CALL,CALL,19000,24-Dec-2025,6247.55,0.0,6300.0,6,94,0.0,1.0676156583629892,600,0,,,,1.6129032258064515
2025-06-19 03:00:02,NIFTY.NSE.OPT.24Dec2025.19000.PUT,PUT,19000,24-Dec-2025,44.1,45.45,44.0,142,2193,23.75,-0.6341537067794051,12000,6750,,,,-1.1235955056179776
2025-06-19 03:00:02,NIFTY.NSE.OPT.26Mar2026.19000.PUT,PUT,19000,26-Mar-2026,41.45,0.0,0.0,0,0,0.0,0.0,4500,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.25Jun2026.19000.PUT,PUT,19000,25-Jun-2026,59.85,0.0,205.7,0,3,0.0,0.0,3975,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.31Dec2026.19000.PUT,PUT,19000,31-Dec-2026,156.75,0.0,109.35,0,24,0.0,0.0,4050,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.24Jun2027.19000.PUT,PUT,19000,24-Jun-2027,128.05,0.0,182.1,0,8,0.0,0.0,4500,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.30Dec2027.19000.PUT,PUT,19000,30-Dec-2027,7.0,0.0,299.95,0,7,0.0,0.0,3975,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.29Jun2028.19000.PUT,PUT,19000,29-Jun-2028,5.0,0.0,0.0,0,0,0.0,0.0,3750,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.28Dec2028.19000.PUT,PUT,19000,28-Dec-2028,4.0,0.0,0.0,0,0,0.0,0.0,3750,0,,,,0.0
2025-06-19 03:00:02,NIFTY.NSE.OPT.28Jun2029.19000.PUT,PUT,19000,28-Jun-2029,7.0,0.0,0.0,0,0,0.0,0.0,3750,0,,,,0.0
