Instrument,Entry_Date,Trade_Type,Exit_Reason,Entry_Price,Exit_Date,Exit_Price,Threshold,SL_Price,Realised_PnL,PnL%,Cum_PnL,Win/Loss,is_win
NIFTY20231130.FUT.NSE,15.0,Short,SL,19898.78,17.0,19973.59,19898.78,19973.59,74.81,0.38,-324.18,Win,True
NIFTY20231130.FUT.NSE,19.0,Long,SL,19810.85,20.0,19736.75,19810.85,19736.75,-74.11,-0.37,-651.39,Loss,False
NIFTY20231130.FUT.NSE,21.0,Short,SL,19645.81,22.0,19719.67,19645.81,19719.67,73.86,0.38,31.92,Win,True
NIFTY20231130.FUT.NSE,32.0,Short,TP,19762.77,33.0,19614.18,19762.77,19837.07,-148.59,-0.75,353.95,Loss,False
NIFTY20231130.FUT.NSE,34.0,Short,TP,19605.01,35.0,19457.61,19605.01,19678.72,-147.41,-0.75,-1.16,Loss,False
NIFTY20231130.FUT.NSE,36.0,Short,SL,19176.89,38.0,19248.98,19176.89,19248.98,72.09,0.38,-362.53,Win,True
NIFTY20231228.FUT.NSE,13.0,Short,TP,19871.3,14.0,19721.89,19871.3,19946.0,-149.41,-0.75,-219.42,Loss,False
NIFTY20231228.FUT.NSE,15.0,Short,TP,19709.75,16.0,19561.56,19709.75,19783.85,-148.19,-0.75,-216.32,Loss,False
NIFTY20231228.FUT.NSE,17.0,Short,SL,19278.98,19.0,19351.46,19278.98,19351.46,72.48,0.38,-385.99,Win,True
NIFTY20240125.FUT.NSE,47.0,Long,TP,21654.0,48.0,21816.0,21654.0,21573.0,162.0,0.75,569.95,Win,True
NIFTY20240125.FUT.NSE,50.0,Long,TP,21633.5,53.0,21795.35,21633.5,21552.58,161.85,0.75,805.81,Win,True
NIFTY20240125.FUT.NSE,57.0,Short,SL,21535.58,58.0,21616.54,21535.58,21616.54,80.96,0.38,7.3,Win,True
NIFTY20240229.FUT.NSE,23.0,Long,TP,21792.45,24.0,21955.48,21792.45,21710.93,163.04,0.75,375.95,Win,True
NIFTY20240229.FUT.NSE,26.0,Long,TP,21772.6,29.0,21935.48,21772.6,21691.15,162.89,0.75,781.3,Win,True
NIFTY20240229.FUT.NSE,33.0,Short,SL,21687.5,34.0,21769.03,21687.5,21769.03,81.53,0.38,254.62,Win,True
NIFTY20240229.FUT.NSE,37.0,Long,TP,21405.68,39.0,21565.82,21405.68,21325.61,160.14,0.75,80.81,Win,True
NIFTY20240229.FUT.NSE,50.0,Long,TP,21752.09,51.0,21914.83,21752.09,21670.73,162.73,0.75,534.27,Win,True
NIFTY20240328.FUT.NSE,7.0,Long,TP,21906.98,10.0,22070.87,21906.98,21825.03,163.89,0.75,163.89,Win,True
NIFTY20240328.FUT.NSE,15.0,Long,SL,21886.33,17.0,21804.46,21886.33,21804.46,-81.87,-0.37,-406.05,Loss,False
NIFTY20240328.FUT.NSE,18.0,Long,TP,21552.4,20.0,21713.64,21552.4,21471.78,161.24,0.75,-317.85,Win,True
NIFTY20240328.FUT.NSE,31.0,Long,TP,21896.6,32.0,22060.42,21896.6,21814.7,163.81,0.75,503.95,Win,True
NIFTY20240328.FUT.NSE,43.0,Long,TP,22130.89,44.0,22296.46,22130.89,22048.11,165.57,0.75,81.4,Win,True
NIFTY20240328.FUT.NSE,51.0,Long,SL,22477.4,52.0,22393.32,22477.4,22393.32,-84.08,-0.37,643.96,Loss,False
NIFTY20240328.FUT.NSE,53.0,Long,SL,22158.51,56.0,22075.62,22158.51,22075.62,-82.89,-0.37,574.0,Loss,False
