Date,Open,High,Low,Close,Volume,Dividends,Stock Splits,Price_Change,Price_Change_Pct,High_Low_Range,High_Low_Pct,Previous_Close,Gap,Gap_Pct,Daily_Return_Pct,MA_5,MA_20,MA_50,Volume_MA_20,Volume_Ratio,Volatility_20,Body_Size,Upper_Shadow,Lower_Shadow,ATM_Strike,ITM_Call_Strike_50,ITM_Call_Strike_100,OTM_Call_Strike_50,OTM_Call_Strike_100,OTM_Call_Strike_200,ITM_Put_Strike_50,ITM_Put_Strike_100,OTM_Put_Strike_50,OTM_Put_Strike_100,OTM_Put_Strike_200,Moneyness_ITM_Call,Moneyness_OTM_Call,Moneyness_ITM_Put,Moneyness_OTM_Put,Vol_Factor,Volume_Factor,Price_Factor,OI_ATM_Calls,OI_ATM_Puts,OI_ITM_Calls,OI_ITM_Puts,OI_OTM_Calls,OI_OTM_Puts,OI_Far_OTM_Calls,OI_Far_OTM_Puts,Total_Call_OI,Total_Put_OI,Total_OI,PCR_OI,PCR_Volume,OI_Change_Total,OI_Change_Calls,OI_Change_Puts,OI_Change_Pct,Bullish_Signal,Bearish_Signal,Support_Level_1,Support_Level_2,Resistance_Level_1,Resistance_Level_2,Vol_Adjusted_OI,IV_Historical_Premium,IV_GARCH_Style,IV_Range_Based,IV_VIX_Style,IV_Composite,IV_Call_Skew,IV_Put_Skew,IV_Weekly,IV_Monthly,IV_Quarterly,IV_ATM,IV_OTM_Calls,IV_OTM_Puts,IV_Risk_Premium,IV_Black_Scholes_Call,IV_Black_Scholes_Put,IV_Black_Scholes_Avg,HV_Annualized
2025-01-07 00:00:00+05:30,23679.900390625,23795.19921875,23637.80078125,23707.900390625,262300,0.0,0.0,28.0,0.1182437406328168,157.3984375,0.6646921435628795,23616.05078125,63.849609375,0.2703653119923568,0.3889287426834364,23852.050390625,24045.29013671875,24101.4351171875,249870.0,1.0497458678512828,0.8603219847679703,28.0,87.298828125,42.099609375,23700.0,23650.0,23600.0,23750.0,23800.0,23900.0,23750.0,23800.0,23650.0,23600.0,23500.0,0.99544875805756,1.0038847644817768,1.0038847644817768,0.99544875805756,0.0430160992383985,1.0497458678512828,0.1944643713417182,33849,31593,23694,25274,17653,19771,5296,7908,80492,84546,165038,1.0503652536898076,1.5,-7749.0,-3780.0,-3969.0,-4.484712391557235,1,0,23600.0,23500.0,23800.0,23900.0,166457.85819722136,1638.8625737790346,13.391839742234588,7.276236351832385,1229.146930334276,10.334038047033486,9.920676525152146,11.160761090796166,11.574122612677506,10.334038047033486,9.093953481389468,10.334038047033486,10.540718807974155,11.574122612677506,-1355.3847734354954,9.515374825240903,10.33193385795973,9.923654341600315,1365.718811482529
2025-01-08 00:00:00+05:30,23746.650390625,23751.849609375,23496.150390625,23688.94921875,266400,0.0,0.0,-57.701171875,-0.242986572530583,255.69921875,1.0767801544378997,23707.900390625,38.75,0.1634476244691968,-0.079936103841971,23841.26015625,23999.23505859375,24091.5980859375,250140.0,1.0650035979851282,0.8599811452335885,57.701171875,5.19921875,192.798828125,23700.0,23650.0,23600.0,23750.0,23800.0,23900.0,23750.0,23800.0,23650.0,23600.0,23500.0,0.9962451175892768,1.004687872823084,1.004687872823084,0.9962451175892768,0.0429990572616794,1.0650035979851282,0.0399680519209855,34365,32074,24056,25659,17921,20072,5376,8029,81718,85834,167552,1.0503683399006338,1.5,2514.0,1226.0,1288.0,1.5232855463590202,0,1,23600.0,23500.0,23800.0,23900.0,168992.91560846177,1638.2132945946682,11.70526765201342,11.86685379397695,1228.6599709460013,11.786060722995185,11.314618294075377,12.7289455808348,13.200388009754608,11.786060722995185,10.371733436235763,11.786060722995185,12.021781937455088,13.200388009754608,-1353.3916847725618,10.122579291398806,12.089022201844472,11.10580074662164,1365.177745495557
2025-01-09 00:00:00+05:30,23674.75,23689.5,23503.05078125,23526.5,269200,0.0,0.0,-148.25,-0.6261945743883252,186.44921875,0.7875446150434534,23688.94921875,-14.19921875,-0.0599402642087695,-0.6857594959147506,23708.830078125,23943.47001953125,24075.345078125,254235.0,1.0588628630991013,0.8635127313973477,148.25,14.75,23.44921875,23550.0,23500.0,23450.0,23600.0,23650.0,23750.0,23600.0,23650.0,23500.0,23450.0,23350.0,0.9967483476080164,1.005249399613202,1.005249399613202,0.9967483476080164,0.0431756365698673,1.0588628630991013,0.3428797479573753,34869,32544,24408,26035,18187,20369,5456,8148,82920,87096,170016,1.0503617945007235,1.5,2464.0,1202.0,1262.0,1.4705882352941175,0,1,23450.0,23350.0,23650.0,23750.0,171484.10980541253,1644.940757675159,12.32712069321006,8.66312849337778,1233.7055682563691,10.49512459329392,10.075319609562163,11.334734560757434,11.754539544489191,10.49512459329392,9.23570964209865,10.49512459329392,10.705027085159799,11.754539544489191,-1360.288840136005,10.907571279821022,10.838682799383887,10.873127039602455,1370.783964729299
2025-01-10 00:00:00+05:30,23551.900390625,23596.599609375,23344.349609375,23431.5,261000,0.0,0.0,-120.400390625,-0.5112130597874226,252.25,1.0710388368507615,23526.5,25.400390625,0.1079650208275774,-0.4037999702463213,23594.180078125,23887.61005859375,24054.6380859375,253980.0,1.0276399716513112,0.8637698341563205,120.400390625,44.69921875,87.150390625,23450.0,23400.0,23350.0,23500.0,23550.0,23650.0,23500.0,23550.0,23400.0,23350.0,23250.0,0.9965217762413844,1.0050572946674348,1.0050572946674348,0.9965217762413844,0.043188491707816,1.0276399716513112,0.2018999851231606,33817,31562,23672,25250,17639,19755,5292,7902,80420,84469,164889,1.0503481720964931,1.5,-5127.0,-2500.0,-2627.0,-3.01559853190288,0,0,23350.0,23250.0,23550.0,23650.0,166313.261441842,1645.4305232475328,12.148474455113227,11.783352454655416,1234.0728924356495,11.965913454884323,11.48727691668895,12.92318653127507,13.401823069470442,11.965913454884323,10.530003840298203,11.965913454884323,12.20523172398201,13.401823069470442,-1359.2261892513932,13.37024958671428,12.026171465075091,12.698210525894686,1371.1921027062774
2025-01-13 00:00:00+05:30,23195.400390625,23340.94921875,23047.25,23085.94921875,316500,0.0,0.0,-109.451171875,-0.4718658442267607,293.69921875,1.266195943178053,23431.5,-236.099609375,-1.0076162831018074,-1.4747275302477436,23488.159765625,23803.49248046875,24029.540078125,254300.0,1.2445930003932364,0.8640269366396298,109.451171875,145.548828125,38.69921875,23100.0,23050.0,23000.0,23150.0,23200.0,23300.0,23150.0,23200.0,23050.0,23000.0,22900.0,0.9962769900455212,1.00494026821983,1.00494026821983,0.9962769900455212,0.0432013468319814,1.2445930003932364,0.7373637651238718,41020,38285,28714,30628,21396,23963,6419,9585,97549,102461,200010,1.0503541809757149,1.5,35121.0,17129.0,17992.0,21.29978349071193,0,1,23000.0,22900.0,23200.0,23300.0,201738.14027597287,1645.9202882947843,14.696200809549618,13.883100291303954,1234.4402162210881,14.289650550426785,13.718064528409712,15.432822594460928,16.004408616478,14.289650550426785,12.574892484375571,14.289650550426785,14.575443561435321,16.004408616478,-1357.3105896952268,14.408362118113391,13.773598137526191,14.09098012781979,1371.6002402456536
2025-01-14 00:00:00+05:30,23165.900390625,23264.94921875,23134.150390625,23176.05078125,311200,0.0,0.0,10.150390625,0.0438160850812764,130.798828125,0.564617933771022,23085.94921875,79.951171875,0.3463196211575527,0.3902874499386977,23381.78984375,23728.88251953125,24008.9541015625,260480.0,1.194717444717445,0.8794128198215627,10.150390625,88.8984375,31.75,23200.0,23150.0,23100.0,23250.0,23300.0,23400.0,23250.0,23300.0,23150.0,23100.0,23000.0,0.9967185616752476,1.00534815961183,1.00534815961183,0.9967185616752476,0.0439706409910781,1.194717444717445,0.1951437249693488,41051,38314,28736,30651,21428,23999,6428,9600,97643,102564,200207,1.0503978779840848,1.5,197.0,94.0,103.0,0.0984950752462377,0,0,23100.0,23000.0,23300.0,23400.0,201967.6460241801,1675.2294871271338,13.711174398645278,6.181314356908878,1256.4221153453504,9.946244377777077,9.548394602665994,10.741943927999245,11.139793703110328,9.946244377777077,8.752695052443828,9.946244377777077,10.145169265332619,11.139793703110328,-1386.078328228168,10.44124379281056,9.385145110524979,9.91319445166777,1396.024572605945
2025-01-15 00:00:00+05:30,23250.44921875,23293.650390625,23146.44921875,23213.19921875,228000,0.0,0.0,-37.25,-0.1602119582702955,147.201171875,0.6331110874033852,23176.05078125,74.3984375,0.321014301367471,0.1602880397986172,23286.63984375,23672.74248046875,23987.13109375,258635.0,0.8815512208324473,0.8497648351572872,37.25,43.201171875,66.75,23200.0,23150.0,23100.0,23250.0,23300.0,23400.0,23250.0,23300.0,23150.0,23100.0,23000.0,0.9951234977271652,1.003739285586275,1.003739285586275,0.9951234977271652,0.0424882417578643,0.8815512208324473,0.0801440198993086,29062,27124,20343,21699,15148,16966,4544,6786,69097,72575,141672,1.050335036253383,1.5,-58535.0,-28546.0,-29989.0,-29.23723945716184,1,0,23100.0,23000.0,23300.0,23400.0,142875.87883726403,1618.7518272340644,12.834300832779167,6.950322546578095,1214.0638704255484,9.892311689678632,9.496619222091486,10.683696624852923,11.079389092440069,9.892311689678632,8.705234286917197,9.892311689678632,10.090157923472205,11.079389092440069,-1339.0675443387086,11.403557484679897,9.842893460511956,10.623225472595927,1348.959856028387
2025-01-16 00:00:00+05:30,23377.25,23391.650390625,23272.05078125,23311.80078125,299400,0.0,0.0,-65.44921875,-0.2799697087980836,119.599609375,0.5116068373097776,23213.19921875,164.05078125,0.706713364685602,0.4247650725383689,23243.7,23628.3900390625,23973.4601171875,261840.0,1.1434463794683776,0.8581924303393851,65.44921875,14.400390625,39.75,23300.0,23250.0,23200.0,23350.0,23400.0,23500.0,23350.0,23400.0,23250.0,23200.0,23100.0,0.9952041121876812,1.0037834579824023,1.0037834579824023,0.9952041121876812,0.0429096215169692,1.1434463794683776,0.2123825362691844,38541,35972,26979,28778,20097,22509,6029,9004,91646,96263,187909,1.0503786308185843,1.5,46237.0,22549.0,23688.0,32.636653678920325,0,0,23200.0,23100.0,23400.0,23500.0,189521.6208139264,1634.8058983556175,12.37891681077164,5.620007693871389,1226.1044237667131,8.999462252321514,8.639483762228654,9.719419232507237,10.079397722600097,8.999462252321514,7.919526782042933,8.999462252321514,9.179451497367944,10.079397722600097,-1353.3387863773598,7.956637469456261,9.017075417752801,8.48685644360453,1362.3382486296814
2025-01-17 00:00:00+05:30,23277.099609375,23292.099609375,23100.349609375,23203.19921875,272900,0.0,0.0,-73.900390625,-0.3174810945743264,191.75,0.8237710162256275,23311.80078125,-34.701171875,-0.1488566764988427,-0.4658651792672774,23198.03984375,23590.9650390625,23953.2580859375,261930.0,1.0418814186996526,0.8383955079940414,73.900390625,15.0,102.849609375,23200.0,23150.0,23100.0,23250.0,23300.0,23400.0,23250.0,23300.0,23150.0,23100.0,23000.0,0.9955523711287791,1.0041718721775132,1.0041718721775132,0.9955523711287791,0.041919775399702,1.0418814186996526,0.2329325896336387,34320,32032,24024,25626,17879,20025,5364,8010,81587,85693,167280,1.050326645176315,1.5,-20629.0,-10059.0,-10570.0,-10.978186249727262,0,0,23100.0,23000.0,23300.0,23400.0,168682.46800577245,1597.093930415447,10.775874940032285,9.063082324133436,1197.8204478115852,9.91947863208286,9.522699486799546,10.71303692264949,11.109816067932805,9.91947863208286,8.729141196232918,9.91947863208286,10.117868204724518,11.109816067932805,-1320.9921300474562,10.67614924434612,10.107350422002844,10.391749833174483,1330.911608679539
2025-01-20 00:00:00+05:30,23290.400390625,23391.099609375,23170.650390625,23344.75,301500,0.0,0.0,54.349609375,0.233356268949662,220.44921875,0.946523954301518,23203.19921875,87.201171875,0.3758152962136989,0.6100485537167577,23249.8,23578.8275390625,23930.4720703125,254870.0,1.1829560167928748,0.789736644233597,54.349609375,46.349609375,119.75,23350.0,23300.0,23250.0,23400.0,23450.0,23550.0,23400.0,23450.0,23300.0,23250.0,23150.0,0.995941271592114,1.0045085083369922,1.0045085083369922,0.995941271592114,0.0394868322116798,1.1829560167928748,0.3050242768583788,35716,33335,25001,26668,18563,20791,5569,8316,84849,89110,173959,1.050218623672642,1.5,6679.0,3262.0,3417.0,3.992706838833094,0,0,23250.0,23150.0,23450.0,23550.0,175332.81796894234,1504.4016685512884,10.704256556320567,10.381686129736686,1128.3012514134664,10.542971343028626,10.12125248930748,11.386409050470917,11.808127904192062,10.542971343028626,9.27781478186519,10.542971343028626,10.753830769889198,11.808127904192062,-1243.125085783045,11.51280813553443,10.732816547589255,11.122812341561843,1253.6680571260738
2025-01-21 00:00:00+05:30,23421.650390625,23426.30078125,22976.849609375,23024.650390625,312900,0.0,0.0,-397.0,-1.695012919153244,449.451171875,1.918956027346827,23344.75,76.900390625,0.3294119261290011,-1.3711845677293557,23219.519921875,23542.38759765625,23906.9780859375,261025.0,1.198735753280337,0.8213488098421889,397.0,4.650390625,47.80078125,23000.0,22950.0,22900.0,23050.0,23100.0,23200.0,23050.0,23100.0,22950.0,22900.0,22800.0,0.9945862200506744,1.003272562583868,1.003272562583868,0.9945862200506744,0.0410674404921094,1.198735753280337,0.6855922838646777,38550,35980,26985,28784,20067,22475,6020,8990,91622,96229,187851,1.0502826831983585,1.5,13892.0,6773.0,7119.0,7.985789755057226,0,1,22900.0,22800.0,23100.0,23200.0,189393.91195277663,1564.620977146545,11.90920812743423,21.238997430397088,1173.4657328599087,16.57410277891566,15.911138667759031,17.900031001228914,18.56299511238554,16.57410277891566,14.58521044544578,16.57410277891566,16.905584834493972,18.56299511238554,-1287.276711509872,16.213190829284784,18.372421497956164,17.292806163620476,1303.8508142887877
2025-01-22 00:00:00+05:30,23099.150390625,23169.55078125,22981.30078125,23155.349609375,276000,0.0,0.0,56.19921875,0.2432956095770906,188.25,0.814965039044912,23024.650390625,74.5,0.3235662593614639,0.5676490914416465,23207.95,23513.77255859375,23887.12109375,265940.0,1.037828081522148,0.837020517813905,56.19921875,14.201171875,117.849609375,23150.0,23100.0,23050.0,23200.0,23250.0,23350.0,23200.0,23250.0,23100.0,23050.0,22950.0,0.9954503122970622,1.004087625202026,1.004087625202026,0.9954503122970622,0.0418510258906952,1.037828081522148,0.2838245457208233,34653,32342,24257,25874,18052,20217,5416,8087,82378,86520,168898,1.0502804146738207,1.5,-18953.0,-9244.0,-9709.0,-10.089379348526226,1,0,23050.0,22950.0,23250.0,23350.0,170311.71091417735,1594.474655323753,11.9467361508809,8.944231983697229,1195.8559914928148,10.445484067289065,10.027664704597502,11.28112279267219,11.698942155363754,10.445484067289065,9.192025979214378,10.445484067289065,10.654393748634847,11.698942155363754,-1318.283395369172,10.876585173445468,10.059183489322997,10.467884331384234,1328.728879436461
2025-01-23 00:00:00+05:30,23128.30078125,23270.80078125,23090.650390625,23205.349609375,275600,0.0,0.0,77.048828125,0.3331365708779743,180.150390625,0.7789175362638272,23155.349609375,-27.048828125,-0.1168145961141032,0.2159328226240875,23186.659765625,23486.530078125,23868.4020703125,270835.0,1.01759373788469,0.8390791786397037,77.048828125,65.451171875,37.650390625,23200.0,23150.0,23100.0,23250.0,23300.0,23400.0,23250.0,23300.0,23150.0,23100.0,23000.0,0.995460115398027,1.0040788176958455,1.0040788176958455,0.995460115398027,0.0419539589319851,1.01759373788469,0.1079664113120437,34688,32375,24282,25900,18072,20240,5422,8096,82464,86611,169075,1.0502886107877376,1.5,177.0,86.0,91.0,0.1047969780577626,0,0,23100.0,23000.0,23300.0,23400.0,170493.67312128507,1598.396282620557,11.315731353687374,8.520513183708324,1198.7972119654178,9.91812226869785,9.521397377949937,10.711572050193679,11.108296940941592,9.91812226869785,8.727947596454108,9.91812226869785,10.116484714071808,11.108296940941592,-1322.0787799150999,10.037533554021948,9.730478247799775,9.88400590091086,1331.9969021837976
2025-01-24 00:00:00+05:30,23183.900390625,23347.30078125,23050.0,23092.19921875,264300,0.0,0.0,-91.701171875,-0.3955381550555734,297.30078125,1.2823587758780275,23205.349609375,-21.44921875,-0.0924322154635174,-0.4876047658393667,23164.459765625,23450.47001953125,23852.5770703125,275210.0,0.960357545147342,0.8380990218557608,91.701171875,163.400390625,42.19921875,23100.0,23050.0,23000.0,23150.0,23200.0,23300.0,23150.0,23200.0,23050.0,23000.0,22900.0,0.9960073435242522,1.0046682769462023,1.0046682769462023,0.9960073435242522,0.041904951092788,0.960357545147342,0.2438023829196833,33226,31011,23258,24809,17309,19386,5193,7754,78986,82960,161946,1.0503127136454562,1.5,-7129.0,-3478.0,-3651.0,-4.216471979890581,0,0,23000.0,22900.0,23200.0,23300.0,163303.26784193455,1596.529141831318,10.931844584698965,14.050593165116911,1197.3968563734884,12.491218874907938,11.99157011991162,13.490516384900573,13.990165139896892,12.491218874907938,10.992272609918986,12.491218874907938,12.741043252406097,13.990165139896892,-1317.9497326511903,11.970146578138293,12.46062794984643,12.215387263992362,1330.4409515260982
2025-01-27 00:00:00+05:30,22940.150390625,23007.44921875,22786.900390625,22829.150390625,257400,0.0,0.0,-111.0,-0.483867795589355,220.548828125,0.9614096872491829,23092.19921875,-152.048828125,-0.6584423886380733,-1.1391241935562957,23061.33984375,23409.68251953125,23837.9790625,269835.0,0.9539162821724388,0.8585077406364487,111.0,67.298828125,42.25,22850.0,22800.0,22750.0,22900.0,22950.0,23050.0,22900.0,22950.0,22800.0,22750.0,22650.0,0.9965329243852412,1.0052936533908257,1.0052936533908257,0.9965329243852412,0.0429253870318224,0.9539162821724388,0.5695620967781478,33147,30937,23203,24750,17285,19359,5186,7744,78821,82790,161611,1.050354600931224,1.5,-335.0,-165.0,-170.0,-0.2068590764822842,0,0,22750.0,22650.0,22950.0,23050.0,162998.44294471998,1635.4065458505484,12.576143511723565,10.560429878055452,1226.5549093879113,11.568286694889508,11.105555227093927,12.49374963048067,12.956481098276251,11.568286694889508,10.180092291502767,11.568286694889508,11.799652428787299,12.956481098276251,-1351.2705015139006,11.7335721695683,12.437989776815762,12.08578097319203,1362.8387882087902
2025-01-28 00:00:00+05:30,22960.44921875,23137.94921875,22857.650390625,22957.25,361900,0.0,0.0,-3.19921875,-0.013933606958297,280.298828125,1.2207898262552368,22829.150390625,131.298828125,0.5751367259769731,0.5611229817278129,23047.859765625,23375.30498046875,23826.470078125,278250.0,1.30062893081761,0.8734629596835278,3.19921875,177.5,99.599609375,22950.0,22900.0,22850.0,23000.0,23050.0,23150.0,23000.0,23050.0,22900.0,22850.0,22750.0,0.9953282732034544,1.0040401180454976,1.0040401180454976,0.9953282732034544,0.0436731479841763,1.30062893081761,0.2805614908639064,47416,44255,33191,35404,24743,27713,7423,11085,112773,118457,231230,1.0504021352628732,1.5,69619.0,33952.0,35667.0,43.0781320578426,0,0,22850.0,22750.0,23050.0,23150.0,233249.70840167624,1663.8953549393173,11.567017642485238,13.362747241840122,1247.921516204488,12.46488244216268,11.966287144476171,13.462073037535694,13.960668335222202,12.46488244216268,10.969096549103158,12.46488244216268,12.714180091005932,13.960668335222202,-1374.1145800072684,13.553726729419232,11.983742325294424,12.768734527356827,1386.579462449431
